json_path,audio_path,video_path,avsr_text,whisper_text,selected_text,fused_text,avsr_conf,stt_conf,weight_avsr,weight_whisper,gt_text,decision,threshold_low,threshold_high,stt_conf_method
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\0_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\0_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\0.mp4,회사 취직 교수님께서 과제로 내주신 에세이에 엄청 애쓴 내가 너무 하심해,회사 취직 교수님께서 과제로 내주신 S.A.A. 엄청 애쓴 내가 너무 팬심이에요.,회사 취직 교수님께서 과제로 내주신 에세이에 엄청 애쓴 내가 너무 하심해,회사 취직 교수님께서 과제로 내주신 에세이에 엄청 애쓴 내가 너무 하심해,0.9417417049407959,0.7472508484736468,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\10_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\10_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\10.mp4,오늘 회사에서 포나사가 나와서 소고기를 사 먹할 거야,오늘 회사에서 포마스가 나와서 소고기를 사먹는 거야,오늘 회사에서 포나사가 나와서 소고기를 사 먹할 거야,오늘 회사에서 포나사가 나와서 소고기를 사 먹할 거야,0.9286238551139832,0.6980447919950599,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\11_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\11_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\11.mp4,이번에는 최종 합격을 하고 있다고 생각했는데 똑딸라졌어,이번에는 최종 학교 봤다고 생각했는데 또 떨어졌어.,이번에는 최종 합격을 하고 있다고 생각했는데 똑딸라졌어,이번에는 최종 합격을 하고 있다고 생각했는데 똑딸라졌어,0.8756030201911926,0.8300721407646224,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\12_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\12_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\12.mp4,요새 코로나로 일자리가 많이 부족한 것 같아 친구가 취업했는데 정말 화가 나,요새 코로나로 일자리가 많이 부족한 것 같아. 친구가 취업했는데 정말 사다네.,요새 코로나로 일자리가 많이 부족한 것 같아 친구가 취업했는데 정말 화가 나,요새 코로나로 일자리가 많이 부족한 것 같아 친구가 취업했는데 정말 화가 나,0.9762750864028931,0.8556430940375184,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\13_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\13_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\13.mp4,오늘 김 부장이 직원들 앞에서 애게 무일감을 준 것이 내리어 빚 미치지 않아 주지 않아서 화가 나,오늘 김부장이 직원들 앞에서 내게 모욕감을 준 것이 내일에서 잊지 않아 잊지 않아서 확 안 나,오늘 김 부장이 직원들 앞에서 애게 무일감을 준 것이 내리어 빚 미치지 않아 주지 않아서 화가 나,오늘 김 부장이 직원들 앞에서 애게 무일감을 준 것이 내리어 빚 미치지 않아 주지 않아서 화가 나,0.9121768474578857,0.7589470131788403,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\14_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\14_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\14.mp4,우리나라에서 하소 수수자들의 취업이 쉽진 않은 것 같아,우리나라에서 수수자들의 치열이 쉽지 않은 것 같아요.,우리나라에서 하소 수수자들의 취업이 쉽진 않은 것 같아,우리나라에서 하소 수수자들의 취업이 쉽진 않은 것 같아,0.934432327747345,0.8634561718929382,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\15_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\15_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\15.mp4,직장에서 무급항 휴가를 가려고 해서 고상하라고 해서 충격받았어,직장에서 무국 수사를 가려고 해서 가라고 해서 충격 받았어,직장에서 무급항 휴가를 가려고 해서 고상하라고 해서 충격받았어,직장에서 무급항 휴가를 가려고 해서 고상하라고 해서 충격받았어,0.9208239316940308,0.6768127688103251,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\16_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\16_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\16.mp4,회사 사정이 안 좋아졌대 나 지방으로 분양이 갔어 갑자기 생긴 일이라 당황습,회사..사정이.. 안 좋아졌대 나 지방으로 분량 갔어 갑자기 생긴 일이라 다행히..,회사 사정이 안 좋아졌대 나 지방으로 분양이 갔어 갑자기 생긴 일이라 당황습,회사 사정이 안 좋아졌대 나 지방으로 분양이 갔어 갑자기 생긴 일이라 당황습,0.9175320863723755,0.7123412185659012,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\17_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\17_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\17.mp4,이번에 새봉 막회에 빤 프로젝트하면서 너무 힘들어 예전에는 겉든 이었는데 이제는 체력이 부족해서 훨씬 힘드네 ,이번에 새로 맞게 된 프로젝트 하면서 너무 힘들어 예전에는 겉은이 해놓는데 이제는 체력이 부족해서 훨씬 힘드네,이번에 새봉 막회에 빤 프로젝트하면서 너무 힘들어 예전에는 겉든 이었는데 이제는 체력이 부족해서 훨씬 힘드네 ,이번에 새봉 막회에 빤 프로젝트하면서 너무 힘들어 예전에는 겉든 이었는데 이제는 체력이 부족해서 훨씬 힘드네 ,0.9051464200019836,0.8314972872612998,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\18_snr0.0.json,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\18_snr0.0.wav,C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\18.mp4,직장 상사가 나한테 자꾸 내 업무가 아닌 정리를 시켜서 짜증 나,직정상사가 나한테 자꾸 내 업무가 아닌 장리를 시켜서 짜증나.,직장 상사가 나한테 자꾸 내 업무가 아닌 정리를 시켜서 짜증 나,직장 상사가 나한테 자꾸 내 업무가 아닌 정리를 시켜서 짜증 나,0.9497667551040649,0.9060248464897828,0.6,0.4,,AVSR_by_fallback,0.3,0.7,avg
